Timestamp,	Gyro_x,	Gyro_y,	Gyro_z,	Acc_x,	Acc_y,	Acc_z,	Orie_x,	Orie_y,	Orie_z,	Orie_w,	Temp_C
15:34:45.84,	0.034,	0.093,	0.014,	0.290,	-0.060,	-1.630,	-0.000,	-0.017,	0.609,	0.793,	7.00
15:34:45.89,	0.034,	0.120,	0.013,	0.310,	-0.060,	-1.560,	-0.001,	-0.017,	0.609,	0.793,	7.00
15:34:45.93,	0.024,	0.131,	0.017,	0.380,	-0.070,	-1.470,	-0.001,	-0.016,	0.608,	0.794,	7.00
15:34:45.98,	0.026,	0.119,	0.013,	0.380,	-0.070,	-1.430,	-0.002,	-0.015,	0.607,	0.794,	7.00
15:34:46.03,	0.032,	0.099,	0.012,	0.380,	-0.080,	-1.370,	-0.002,	-0.015,	0.606,	0.795,	7.00
15:34:46.07,	0.033,	0.099,	0.012,	0.390,	-0.100,	-1.340,	-0.002,	-0.015,	0.606,	0.795,	7.00
15:34:46.12,	0.024,	0.108,	0.014,	0.390,	-0.090,	-1.340,	-0.002,	-0.015,	0.605,	0.796,	7.00
15:34:46.17,	0.008,	0.116,	0.017,	0.400,	-0.080,	-1.260,	-0.003,	-0.015,	0.604,	0.797,	7.00
15:34:46.22,	0.010,	0.111,	0.019,	0.430,	-0.060,	-1.240,	-0.003,	-0.015,	0.603,	0.797,	7.00
15:34:46.27,	0.027,	0.103,	0.013,	0.430,	-0.070,	-1.200,	-0.003,	-0.015,	0.602,	0.798,	7.00
15:34:46.31,	0.024,	0.106,	0.014,	0.420,	-0.080,	-1.140,	-0.003,	-0.014,	0.601,	0.799,	7.00
15:34:46.36,	0.003,	0.111,	0.019,	0.430,	-0.070,	-1.100,	-0.003,	-0.015,	0.600,	0.800,	7.00
15:34:46.40,	-0.007,	0.114,	0.023,	0.450,	-0.050,	-1.070,	-0.004,	-0.015,	0.598,	0.801,	7.00
15:34:46.45,	-0.001,	0.108,	0.021,	0.470,	-0.040,	-1.030,	-0.004,	-0.015,	0.599,	0.801,	7.00
15:34:46.49,	-0.004,	0.089,	0.023,	0.430,	-0.020,	-1.010,	-0.004,	-0.015,	0.599,	0.801,	7.00
15:34:46.54,	-0.021,	0.079,	0.026,	0.450,	-0.030,	-0.990,	-0.005,	-0.016,	0.599,	0.800,	7.00
15:34:46.59,	-0.032,	0.082,	0.029,	0.430,	0.000,	-0.940,	-0.005,	-0.017,	0.600,	0.800,	7.00
15:34:46.63,	-0.021,	0.097,	0.029,	0.430,	0.000,	-0.920,	-0.006,	-0.017,	0.600,	0.799,	7.00
15:34:46.68,	-0.019,	0.111,	0.026,	0.460,	0.010,	-0.850,	-0.007,	-0.017,	0.601,	0.799,	7.00
15:34:46.73,	-0.038,	0.098,	0.032,	0.490,	0.020,	-0.810,	-0.007,	-0.018,	0.601,	0.799,	7.00
15:34:46.77,	-0.054,	0.082,	0.037,	0.470,	0.050,	-0.790,	-0.008,	-0.018,	0.602,	0.798,	7.00
15:34:46.82,	-0.058,	0.067,	0.038,	0.460,	0.070,	-0.810,	-0.009,	-0.019,	0.602,	0.798,	7.00
15:34:46.86,	-0.056,	0.066,	0.037,	0.420,	0.110,	-0.800,	-0.009,	-0.020,	0.603,	0.797,	7.00
15:34:46.91,	-0.062,	0.083,	0.037,	0.440,	0.110,	-0.790,	-0.010,	-0.021,	0.600,	0.800,	7.00
15:34:46.96,	-0.066,	0.093,	0.039,	0.470,	0.150,	-0.740,	-0.011,	-0.021,	0.599,	0.800,	7.00
15:34:47.01,	-0.061,	0.098,	0.040,	0.480,	0.150,	-0.720,	-0.012,	-0.021,	0.600,	0.800,	7.00
15:34:47.05,	-0.068,	0.083,	0.040,	0.480,	0.170,	-0.620,	-0.013,	-0.022,	0.599,	0.800,	7.00
15:34:47.10,	-0.073,	0.073,	0.040,	0.480,	0.200,	-0.600,	-0.014,	-0.023,	0.599,	0.800,	7.00
15:34:47.14,	-0.074,	0.078,	0.044,	0.460,	0.230,	-0.600,	-0.015,	-0.023,	0.600,	0.800,	7.00
15:34:47.19,	-0.082,	0.088,	0.046,	0.460,	0.240,	-0.600,	-0.015,	-0.024,	0.600,	0.799,	7.00
15:34:47.23,	-0.084,	0.090,	0.046,	0.470,	0.270,	-0.630,	-0.016,	-0.025,	0.600,	0.799,	7.00
15:34:47.28,	-0.077,	0.084,	0.044,	0.450,	0.280,	-0.670,	-0.016,	-0.025,	0.601,	0.799,	7.00
15:34:47.33,	-0.060,	0.088,	0.040,	0.460,	0.260,	-0.640,	-0.017,	-0.025,	0.599,	0.800,	7.00
15:34:47.37,	-0.056,	0.092,	0.040,	0.460,	0.280,	-0.620,	-0.017,	-0.026,	0.599,	0.800,	7.00
15:34:47.42,	-0.069,	0.101,	0.043,	0.470,	0.280,	-0.620,	-0.017,	-0.026,	0.600,	0.800,	7.00
15:34:47.47,	-0.060,	0.104,	0.046,	0.480,	0.310,	-0.620,	-0.017,	-0.026,	0.600,	0.799,	7.00
15:34:47.52,	-0.048,	0.098,	0.039,	0.460,	0.280,	-0.680,	-0.017,	-0.026,	0.601,	0.799,	7.00
15:34:47.56,	-0.044,	0.087,	0.040,	0.460,	0.290,	-0.730,	-0.017,	-0.026,	0.601,	0.799,	7.00
15:34:47.61,	-0.039,	0.090,	0.042,	0.450,	0.280,	-0.710,	-0.017,	-0.026,	0.602,	0.798,	7.00
15:34:47.66,	-0.022,	0.117,	0.036,	0.450,	0.290,	-0.760,	-0.017,	-0.025,	0.602,	0.798,	7.00
15:34:47.70,	-0.009,	0.130,	0.033,	0.470,	0.240,	-0.720,	-0.016,	-0.024,	0.603,	0.797,	7.00
15:34:47.75,	-0.006,	0.124,	0.032,	0.520,	0.240,	-0.700,	-0.016,	-0.023,	0.603,	0.797,	7.00
15:34:47.80,	-0.007,	0.110,	0.034,	0.480,	0.210,	-0.670,	-0.016,	-0.023,	0.604,	0.797,	7.00
15:34:47.84,	-0.002,	0.102,	0.033,	0.500,	0.200,	-0.630,	-0.015,	-0.022,	0.604,	0.796,	7.00
15:34:47.89,	0.007,	0.106,	0.031,	0.500,	0.180,	-0.610,	-0.014,	-0.021,	0.605,	0.796,	7.00
15:34:47.94,	0.024,	0.118,	0.027,	0.520,	0.200,	-0.600,	-0.014,	-0.020,	0.606,	0.795,	7.00
15:34:47.98,	0.039,	0.130,	0.023,	0.550,	0.150,	-0.560,	-0.013,	-0.019,	0.606,	0.795,	7.00
15:34:48.03,	0.043,	0.133,	0.021,	0.580,	0.110,	-0.480,	-0.012,	-0.018,	0.606,	0.795,	7.00
15:34:48.08,	0.046,	0.120,	0.022,	0.580,	0.100,	-0.420,	-0.011,	-0.017,	0.606,	0.795,	7.00
15:34:48.12,	0.053,	0.112,	0.018,	0.590,	0.080,	-0.390,	-0.010,	-0.016,	0.607,	0.795,	7.00
15:34:48.17,	0.061,	0.112,	0.020,	0.590,	0.020,	-0.320,	-0.009,	-0.015,	0.607,	0.795,	7.00
15:34:48.21,	0.057,	0.116,	0.020,	0.580,	0.020,	-0.250,	-0.008,	-0.014,	0.607,	0.794,	7.00
15:34:48.27,	0.059,	0.112,	0.019,	0.560,	0.010,	-0.190,	-0.006,	-0.014,	0.607,	0.794,	7.00
15:34:48.31,	0.083,	0.108,	0.014,	0.580,	-0.010,	-0.150,	-0.005,	-0.013,	0.608,	0.794,	7.00
15:34:48.36,	0.093,	0.108,	0.011,	0.580,	-0.080,	-0.100,	-0.003,	-0.012,	0.608,	0.794,	7.00
15:34:48.40,	0.088,	0.107,	0.011,	0.570,	-0.110,	-0.040,	-0.002,	-0.012,	0.608,	0.794,	7.00
15:34:48.45,	0.074,	0.098,	0.016,	0.550,	-0.140,	0.000,	-0.001,	-0.012,	0.608,	0.794,	7.00
15:34:48.50,	0.076,	0.089,	0.018,	0.560,	-0.130,	0.000,	0.000,	-0.012,	0.608,	0.794,	7.00
15:34:48.54,	0.083,	0.078,	0.013,	0.550,	-0.200,	0.010,	0.002,	-0.012,	0.607,	0.794,	7.00
15:34:48.59,	0.080,	0.066,	0.013,	0.520,	-0.180,	0.040,	0.003,	-0.012,	0.607,	0.794,	7.00
15:34:48.63,	0.077,	0.062,	0.016,	0.490,	-0.180,	0.080,	0.004,	-0.012,	0.608,	0.794,	7.00
15:34:48.68,	0.079,	0.068,	0.014,	0.500,	-0.220,	0.080,	0.005,	-0.013,	0.606,	0.795,	7.00
15:34:48.72,	0.083,	0.067,	0.016,	0.500,	-0.220,	0.150,	0.006,	-0.013,	0.605,	0.796,	7.00
15:34:48.77,	0.077,	0.053,	0.014,	0.470,	-0.250,	0.200,	0.007,	-0.013,	0.605,	0.796,	7.00
15:34:48.85,	0.051,	0.020,	0.021,	0.440,	-0.270,	0.190,	0.009,	-0.015,	0.602,	0.799,	7.00
15:34:48.89,	0.044,	0.008,	0.022,	0.400,	-0.230,	0.210,	0.010,	-0.016,	0.599,	0.800,	7.00
15:34:48.94,	0.050,	0.008,	0.020,	0.380,	-0.250,	0.220,	0.011,	-0.017,	0.600,	0.800,	7.00
15:34:48.99,	0.049,	0.008,	0.020,	0.340,	-0.270,	0.280,	0.011,	-0.018,	0.598,	0.802,	7.00
15:34:49.04,	0.041,	0.002,	0.021,	0.350,	-0.260,	0.320,	0.012,	-0.019,	0.596,	0.803,	7.00
15:34:49.08,	0.024,	-0.011,	0.027,	0.300,	-0.250,	0.400,	0.013,	-0.020,	0.593,	0.805,	7.00
15:34:49.13,	0.018,	-0.027,	0.026,	0.290,	-0.250,	0.400,	0.013,	-0.022,	0.591,	0.807,	7.00
15:34:49.17,	0.013,	-0.033,	0.028,	0.280,	-0.250,	0.470,	0.013,	-0.023,	0.589,	0.808,	7.00
